
begin: 2013-07-19 19:11:45.099663 +0900 +0900

    :197(000011000101)--1290(010100001010)	114(000001110010)--1164(010010001100)	1(000000000001)--256(000100000000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--1164(010010001100)	64(000001000000)--1032(010000001000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--1164(010010001100)	132(000010000100)--2(000000000010)
      :1(000000000001)--256(000100000000)	65(000001000001)--144(000010010000)	0(000000000000)--256(000100000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--144(000010010000)	1(000000000001)--0(000000000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--144(000010010000)	0(000000000000)--0(000000000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1028(010000000100)	0(000000000000)--256(000100000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1028(010000000100)	1(000000000001)--0(000000000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1028(010000000100)	0(000000000000)--0(000000000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1152(010010000000)	0(000000000000)--256(000100000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1152(010010000000)	1(000000000001)--0(000000000000)
      :1(000000000001)--256(000100000000)	65(000001000001)--1152(010010000000)	0(000000000000)--0(000000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1440(010110100000)	64(000001000000)--0(000000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1440(010110100000)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1440(010110100000)	0(000000000000)--8(000000001000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1314(010100100010)	64(000001000000)--0(000000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1314(010100100010)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1314(010100100010)	0(000000000000)--8(000000001000)
      :64(000001000000)--1032(010000001000)	29(000000011101)--1794(011100000010)	64(000001000000)--0(000000000000)
